S-Bahnstationsname;DB-Stationsname;Abkuerzung;S-Bahnnetz;BM;Matching-Methode
Agathenburg;Agathenburg;AABG;Hamburg;Hamburg;direct
Ahrensfelde;Ahrensfelde;BAHR;Berlin;Berlin;direct
Aldekerk;Aldekerk;KALK;Rhein-Ruhr;Duisburg;codematch
Alexanderplatz;Alexanderplatz;BALE;Berlin;Berlin;direct
Allermöhe;Allermöhe;AALH;Hamburg;Hamburg;direct
Alpen;Alpen;KALP;Rhein-Ruhr;Duisburg;codematch
Altdorf;Altdorf (b Nürnberg);NAD;Nürnberg;Nürnberg;regex
Altdorf West;Altdorf West (b Nürnberg);NADW;Nürnberg;Nürnberg;regex
Alte Wöhr Stadtpark;Alte Wöhr;AAW;Hamburg;Hamburg;manual
Altenerding;Altenerding;MANE;München;München;direct
Altglienicke;Altglienicke;BAGL;Berlin;Berlin;direct
Altomünster;Altomünster;MAMT;München;München;direct
Alt-Reinickendorf;Alt-Reinickendorf;BARF;Berlin;Berlin;direct
Angermund;Angermund;KANM;Rhein-Ruhr;Düsseldorf;codematch
Anrath;Anrath;KANR;Rhein-Ruhr;Duisburg;codematch
Ansbach;Ansbach;NAN;Nürnberg;Nürnberg;direct
Anwanden;Anwanden;NAWN;Nürnberg;Nürnberg;direct
Arnbach;Arnbach;MANB;München;München;direct
Attilastraße;Attilastraße;BATS;Berlin;Berlin;direct
Aufhausen;Aufhausen (b Erding);MAFE;München;München;regex
Aumühle;Aumühle;AAH;Hamburg;Hamburg;direct
Aying;Aying;MAY;München;München;direct
Babelsberg;Babelsberg;BBAB;Berlin;Berlin;direct
Bachern;Bachern;MBCN;München;München;direct
Bad Homburg v.d.H. Bahnhof;Bad Homburg;FHO;Rhein-Main;Frankfurt a. M.;manual
Bad Soden (Taunus) Bahnhof;Bad Soden (Taunus);FBSO;Rhein-Main;Frankfurt a. M.;suffix
Bad Vilbel Bahnhof;Bad Vilbel;FVL;Rhein-Main;Frankfurt a. M.;suffix
Bad Vilbel Südbahnhof;Bad Vilbel Süd;FVLS;Rhein-Main;Frankfurt a. M.;manual
Bahrenfeld;Bahrenfeld;ABAF;Hamburg;Hamburg;direct
Baierbrunn;Baierbrunn;MBAB;München;München;direct
Baiersdorf;Baiersdorf;NBD;Nürnberg;Nürnberg;direct
Baldham;Baldham;MBDH;München;München;direct
Bamberg;Bamberg;NBA;Nürnberg;Bamberg;direct
Barmbek;Barmbek;ABAP;Hamburg;Hamburg;direct
Baumschulenweg;Baumschulenweg;BBW;Berlin;Berlin;direct
Bedburg-Hau;Bedburg-Hau;KBH;Rhein-Ruhr;Duisburg;codematch
Bellevue;Bellevue;BBEV;Berlin;Berlin;direct
Bergfelde;Bergfelde (b Berlin);BBFE;Berlin;Berlin;regex
Anhalter Bahnhof;Berlin Anhalter Bahnhof;BAHU;Berlin;Berlin;prefix
Brandenburger Tor;Berlin Brandenburger Tor;BTOR;Berlin;Berlin;prefix
Frankfurter Allee;Berlin Frankfurter Allee;BFAL;Berlin;Berlin;prefix
Hauptbahnhof;Berlin Hauptbahnhof;BL;Berlin;Berlin Hauptbahnhof;prefix
Ostbahnhof;Berlin Ostbahnhof;BHF;Berlin;Berlin;prefix
Potsdamer Platz;Berlin Potsdamer Platz;BPOF;Berlin;Berlin;prefix
Südkreuz;Berlin Südkreuz;BSKR;Berlin;Berlin;prefix
Zoologischer Garten;Berlin Zoologischer Garten;BZOO;Berlin;Berlin;prefix
Adlershof;Berlin-Adlershof;BADL;Berlin;Berlin;prefix
Blankenburg;Berlin-Blankenburg;BBKB;Berlin;Berlin;prefix
Buch;Berlin-Buch;BBU;Berlin;Berlin;prefix
Charlottenburg;Berlin-Charlottenburg;BCHB;Berlin;Berlin;prefix
Berliner Tor;Berliner Tor;ABTS;Hamburg;Hamburg;direct
Friedrichshagen;Berlin-Friedrichshagen;BFRH;Berlin;Berlin;prefix
Friedrichstraße;Berlin-Friedrichstraße;BFRI;Berlin;Berlin;prefix
Frohnau;Berlin-Frohnau;BFOH;Berlin;Berlin;prefix
Gesundbrunnen;Berlin-Gesundbrunnen;BGS;Berlin;Berlin;prefix
Grünau;Berlin-Grünau;BGA;Berlin;Berlin;prefix
Grunewald;Berlin-Grunewald;BGD;Berlin;Berlin;prefix
Halensee;Berlin-Halensee;BHAL;Berlin;Berlin;prefix
Hermsdorf;Berlin-Hermsdorf;BHED;Berlin;Berlin;prefix
Hohenschönhausen;Berlin-Hohenschönhausen;BHSH;Berlin;Berlin;prefix
Karlshorst;Berlin-Karlshorst;BKH;Berlin;Berlin;prefix
Karow;Berlin-Karow;BKAR;Berlin;Berlin;prefix
Kaulsdorf;Berlin-Kaulsdorf;BKD;Berlin;Berlin;prefix
Köpenick;Berlin-Köpenick;BKP;Berlin;Berlin;prefix
Lichtenberg;Berlin-Lichtenberg;BLO;Berlin;Berlin;prefix
Lichterfelde Ost;Berlin-Lichterfelde Ost;BLIH;Berlin;Berlin;prefix
Lichterfelde West;Berlin-Lichterfelde West;BLWE;Berlin;Berlin;prefix
Mahlsdorf;Berlin-Mahlsdorf;BMDF;Berlin;Berlin;prefix
Marienfelde;Berlin-Marienfelde;BMF;Berlin;Berlin;prefix
Marzahn;Berlin-Marzahn;BMAR;Berlin;Berlin;prefix
Neukölln;Berlin-Neukölln;BNKN;Berlin;Berlin;prefix
Nordbahnhof;Berlin-Nordbahnhof;BNB;Berlin;Berlin;prefix
Pankow;Berlin-Pankow;BPKR;Berlin;Berlin;prefix
Rummelsburg;Berlin-Rummelsburg;BRH;Berlin;Berlin;prefix
Schlachtensee;Berlin-Schlachtensee;BSLS;Berlin;Berlin;prefix
Flughafen Schönefeld;Berlin-Schönefeld Flughafen;BFHS;Berlin;Berlin;manual
Schöneweide;Berlin-Schöneweide Pbf;BSWP;Berlin;Berlin;prefix
Schönholz;Berlin-Schönholz;BSNL;Berlin;Berlin;prefix
Spandau;Berlin-Spandau;BSPD;Berlin;Berlin;prefix
Spindlersfeld;Berlin-Spindlersfeld;BSPF;Berlin;Berlin;prefix
Tegel;Berlin-Tegel;BTG;Berlin;Berlin;prefix
Tempelhof;Berlin-Tempelhof;BTF;Berlin;Berlin;prefix
Wannsee;Berlin-Wannsee;BWS;Berlin;Berlin;prefix
Westkreuz;Berlin-Westkreuz;BWKR;Berlin;Berlin;prefix
Wilhelmsruh;Berlin-Wilhelmsruh;BWM;Berlin;Berlin;prefix
Zehlendorf;Berlin-Zehlendorf;BZD;Berlin;Berlin;prefix
Bernau;Bernau (b Berlin);BBRN;Berlin;Potsdam;corrected
Bernau-Friedenstal;Bernau-Friedenstal;BBRF;Berlin;Berlin;direct
Betriebsbahnhof Rummelsburg;Betriebsbahnhof Berlin-Rummelsburg;BRB;Berlin;Berlin;manual
Betriebsbahnhof Schöneweide;Betriebsbahnhof Berlin-Schöneweide;BSCF;Berlin;Berlin;manual
Beusselstraße;Beusselstraße;BBEU;Berlin;Berlin;direct
Biesdorf;Biesdorf;BBDF;Berlin;Berlin;direct
Billwerder-Moorfleet;Billwerder-Moorfleet;ABWM;Hamburg;Hamburg;direct
Birkenstein;Birkenstein;BBIS;Berlin;Berlin;direct
Birkenwerder;Birkenwerder (b Berlin);BBI;Berlin;Potsdam;regex
Blankenese;Blankenese;AB;Hamburg;Hamburg;direct
Blankenfelde;Blankenfelde (Kr Teltow-Fläming);BBF;Berlin;Cottbus;regex
Blumenkamp;Blumenkamp;EBKP;Rhein-Ruhr;Duisburg;codematch
BO Hbf;Bochum Hbf;EBO;Rhein-Ruhr;Essen;codematch
BO West;Bochum West;EBOW;Rhein-Ruhr;Essen;codematch
BO Dahlhausen;Bochum-Dahlhausen;EBDA;Rhein-Ruhr;Essen;codematch
BO Ehrenfeld;Bochum-Ehrenfeld;EBOE;Rhein-Ruhr;Essen;codematch
BO Hamme;Bochum-Hamme;EBOH;Rhein-Ruhr;Essen;codematch
BO Langendreer;Bochum-Langendreer;EBP;Rhein-Ruhr;Essen;codematch
BO Langendreer West;Bochum-Langendreer West;EBW;Rhein-Ruhr;Essen;codematch
BO Riemke;Bochum-Riemke;EBGZ;Rhein-Ruhr;Essen;codematch
Boisheim;Boisheim;KBOI;Rhein-Ruhr;Düsseldorf;codematch
Borgsdorf;Borgsdorf;BBOR;Berlin;Berlin;direct
Bornholmer Straße;Bornholmer Straße;BBOS;Berlin;Berlin;direct
Botanischer Garten;Botanischer Garten;BBGT;Berlin;Berlin;direct
Bottrop Hbf;Bottrop Hbf;EBTH;Rhein-Ruhr;Duisburg;codematch
BOT Boy;Bottrop-Boy;EBTB;Rhein-Ruhr;Duisburg;codematch
BOT Vonderort;Bottrop-Vonderort;EBTV;Rhein-Ruhr;Duisburg;codematch
Friedberg (Hessen)-Bruchenbrücken Bahnhof;Bruchenbrücken;FBB;Rhein-Main;Gießen;manual
Bubenreuth;Bubenreuth;NBTH;Nürnberg;Nürnberg;direct
Buchenau;Buchenau (Oberbay);MBAU;München;München;regex
Büchenbach;Büchenbach;NBUE;Nürnberg;Nürnberg;direct
Buchenhain;Buchenhain;MBHA;München;München;direct
Buckower Chaussee;Buckower Chaussee;BBCH;Berlin;Berlin;direct
Bundesplatz;Bundesplatz;BBUP;Berlin;Berlin;direct
Burgthann;Burgthann;NBUT;Nürnberg;Nürnberg;direct
Buttenheim;Buttenheim;NBT;Nürnberg;Bamberg;direct
Büttgen;Büttgen;KBUT;Rhein-Ruhr;Düsseldorf;codematch
Buxtehude;Buxtehude;ABX;Hamburg;Hamburg;direct
Castrop Rauxel Hbf;Castrop-Rauxel Hbf;ECA;Rhein-Ruhr;Essen;codematch
Castrop Rauxel Merklinde;Castrop-Rauxel-Merklinde;ECME;Rhein-Ruhr;Essen;codematch
Dachau;Dachau Bahnhof;MDA;München;München;regex
Dachau Stadt;Dachau Stadt;MDAS;München;München;direct
Dahl;Dahl;EDHL;Rhein-Ruhr;Hagen;codematch
Darmstadt Hauptbahnhof;Darmstadt Hbf;FD;Rhein-Main;Darmstadt;regex swap
Darmstadt-Arheilgen Bahnhof;Darmstadt-Arheilgen;FDA;Rhein-Main;Frankfurt a. M.;suffix
Darmstadt-Wixhausen Bahnhof;Darmstadt-Wixhausen;FWX;Rhein-Main;Frankfurt a. M.;suffix
Deisenhofen;Deisenhofen;MDS;München;München;direct
Deuten;Deuten;EDEU;Rhein-Ruhr;Münster (Westf);codematch
Diebsteich;Diebsteich;ADT;Hamburg;Hamburg;direct
Dietzenbach Bahnhof;Dietzenbach Bahnhof;FDZ;Rhein-Main;Frankfurt a. M.;direct
Dietzenbach Mitte Bahnhof;Dietzenbach-Mitte;FDZM;Rhein-Main;Frankfurt a. M.;regex swap
Dietzenbach Steinberg Bahnhof;Dietzenbach-Steinberg;FDZS;Rhein-Main;Frankfurt a. M.;regex swap
Dingden;Dingden;EDGD;Rhein-Ruhr;Duisburg;codematch
Dinslaken;Dinslaken;EDIN;Rhein-Ruhr;Duisburg;codematch
Dollern;Dollern;ADR;Hamburg;Hamburg;direct
Dormagen;Dormagen;KDO;Rhein-Ruhr;Düsseldorf;codematch
Dorsten;Dorsten;EDRN;Rhein-Ruhr;Münster (Westf);codematch
Bad Vilbel-Dortelweil Bahnhof;Dortelweil;FDW;Rhein-Main;Frankfurt a. M.;manual
Dortmund Hbf;Dortmund Hbf;EDO;Rhein-Ruhr;Dortmund;codematch
DO Signal Iduna Park;Dortmund Signal-Iduna-Park;EDWH;Rhein-Ruhr;Dortmund;codematch
DO Aplerbeck;Dortmund-Aplerbeck;EDAP;Rhein-Ruhr;Dortmund;codematch
DO Aplerbeck Süd;Dortmund-Aplerbeck Süd;EDAU;Rhein-Ruhr;Dortmund;codematch
DO Asseln Mitte;Dortmund-Asseln Mitte;EDAM;Rhein-Ruhr;Dortmund;codematch
DO Barop;Dortmund-Barop;EDBA;Rhein-Ruhr;Dortmund;codematch
DO Bövinghausen;Dortmund-Bövinghausen;EDBH;Rhein-Ruhr;Dortmund;codematch
DO Brackel;Dortmund-Brackel;EDBK;Rhein-Ruhr;Dortmund;codematch
DO Derne;Dortmund-Derne;EDD;Rhein-Ruhr;Dortmund;codematch
DO Dorstfeld;Dortmund-Dorstfeld;EDDP;Rhein-Ruhr;Dortmund;codematch
DO Dorstfeld Süd;Dortmund-Dorstfeld Süd;EDDS;Rhein-Ruhr;Dortmund;codematch
DO Germania;Dortmund-Germania;EDGM;Rhein-Ruhr;Dortmund;codematch
DO Hörde;Dortmund-Hörde;EDH;Rhein-Ruhr;Dortmund;codematch
DO Huckarde;Dortmund-Huckarde;EDOH;Rhein-Ruhr;Dortmund;codematch
DO Huckarde Nord;Dortmund-Huckarde Nord;EDHU;Rhein-Ruhr;Dortmund;codematch
DO Kirchderne;Dortmund-Kirchderne;EDKD;Rhein-Ruhr;Dortmund;codematch
DO Kirchhörde;Dortmund-Kirchhörde;EDKH;Rhein-Ruhr;Dortmund;codematch
DO Kley;Dortmund-Kley;EDK;Rhein-Ruhr;Dortmund;codematch
DO Knappschaftskrankenhaus;Dortmund-Knappschaftskrankenhaus;EDKK;Rhein-Ruhr;Dortmund;codematch
DO Körne;Dortmund-Körne;EDKO;Rhein-Ruhr;Dortmund;codematch
DO Körne West;Dortmund-Körne West;EDWK;Rhein-Ruhr;Dortmund;codematch
DO Kruckel;Dortmund-Kruckel;EDKR;Rhein-Ruhr;Dortmund;codematch
DO Kurl;Dortmund-Kurl;EDKU;Rhein-Ruhr;Dortmund;codematch
DO Löttringhausen;Dortmund-Löttringhausen;EDLH;Rhein-Ruhr;Dortmund;codematch
DO Lütgendortmund;Dortmund-Lütgendortmund;EDLS;Rhein-Ruhr;Dortmund;codematch
DO Lütgendortmund Nord;Dortmund-Lütgendortmund Nord;EDLN;Rhein-Ruhr;Dortmund;codematch
DO Marten;Dortmund-Marten;EDMR;Rhein-Ruhr;Dortmund;codematch
DO Marten Süd;Dortmund-Marten Süd;EDMS;Rhein-Ruhr;Dortmund;codematch
DO Mengede;Dortmund-Mengede;EDMG;Rhein-Ruhr;Dortmund;codematch
DO Möllerbrücke;Dortmund-Möllerbrücke;EDMB;Rhein-Ruhr;Dortmund;codematch
DO Nette/Oestrich;Dortmund-Nette/Oestrich;EDOO;Rhein-Ruhr;Dortmund;codematch
DO Oespel;Dortmund-Oespel;EDOP;Rhein-Ruhr;Dortmund;codematch
DO Rahm;Dortmund-Rahm;EDRA;Rhein-Ruhr;Dortmund;codematch
DO Scharnhorst;Dortmund-Scharnhorst;EDSH;Rhein-Ruhr;Dortmund;codematch
DO Sölde;Dortmund-Sölde;EDSO;Rhein-Ruhr;Dortmund;codematch
DO Somborn;Dortmund-Somborn;EDSM;Rhein-Ruhr;Dortmund;codematch
DO Stadthaus;Dortmund-Stadthaus;EDST;Rhein-Ruhr;Dortmund;codematch
DO Tierpark;Dortmund-Tierpark;EDTP;Rhein-Ruhr;Dortmund;codematch
DO Universität;Dortmund-Universität;EDUV;Rhein-Ruhr;Dortmund;codematch
DO West;Dortmund-West;EDW;Rhein-Ruhr;Dortmund;codematch
DO Westerfilde;Dortmund-Westerfilde;EDOF;Rhein-Ruhr;Dortmund;codematch
DO Wickede;Dortmund-Wickede;EDWI;Rhein-Ruhr;Dortmund;codematch
DO Wickede West;Dortmund-Wickede West;EDWW;Rhein-Ruhr;Dortmund;codematch
DO Wischlingen;Dortmund-Wischlingen;EDOL;Rhein-Ruhr;Dortmund;codematch
Dreieich-Buchschlag Bahnhof;Dreieich-Buchschlag;FBUS;Rhein-Main;Darmstadt;suffix
Duisburg Hbf;Duisburg Hbf;EDG;Rhein-Ruhr;Duisburg;codematch
DU Schlenk;Duisburg Schlenk;EDSL;Rhein-Ruhr;Duisburg;codematch
DU Bissingheim;Duisburg-Bissingheim;EDBI;Rhein-Ruhr;Duisburg;codematch
DU Buchholz;Duisburg-Buchholz;EDBU;Rhein-Ruhr;Duisburg;codematch
DU Entenfang;Duisburg-Entenfang;EDEF;Rhein-Ruhr;Duisburg;codematch
DU Großenbaum;Duisburg-Großenbaum;EDGR;Rhein-Ruhr;Duisburg;codematch
DU Meiderich Ost;Duisburg-Meiderich Ost;EDMO;Rhein-Ruhr;Duisburg;codematch
DU Meiderich Süd;Duisburg-Meiderich Süd;EDME;Rhein-Ruhr;Duisburg;codematch
DU Obermeiderich;Duisburg-Obermeiderich;EDOM;Rhein-Ruhr;Duisburg;codematch
DU Rahm;Duisburg-Rahm;EDRM;Rhein-Ruhr;Duisburg;codematch
DU Ruhrort;Duisburg-Ruhrort;EDRU;Rhein-Ruhr;Duisburg;codematch
DU Wedau;Duisburg-Wedau;EDWD;Rhein-Ruhr;Duisburg;codematch
Dürrnhaar;Dürrnhaar;MDHR;München;München;direct
D Flughafen;Düsseldorf Flughafen;KDFF;Rhein-Ruhr;Düsseldorf;codematch
Düsseldorf Hbf;Düsseldorf Hbf;KD;Rhein-Ruhr;Düsseldorf;codematch
D Völklinger Straße;Düsseldorf Völklinger Straße;KDVS;Rhein-Ruhr;Düsseldorf;codematch
D Volksgarten;Düsseldorf Volksgarten;KDV;Rhein-Ruhr;Düsseldorf;codematch
D Wehrhahn;Düsseldorf Wehrhahn;KDW;Rhein-Ruhr;Düsseldorf;codematch
D Zoo;Düsseldorf Zoo;KDZ;Rhein-Ruhr;Düsseldorf;codematch
D Benrath;Düsseldorf-Benrath;KDBE;Rhein-Ruhr;Düsseldorf;codematch
D Bilk;Düsseldorf-Bilk;KDBH;Rhein-Ruhr;Düsseldorf;codematch
D Eller;Düsseldorf-Eller;KDE;Rhein-Ruhr;Düsseldorf;codematch
D Eller Mitte;Düsseldorf-Eller Mitte;KDEM;Rhein-Ruhr;Düsseldorf;codematch
D Eller Süd;Düsseldorf-Eller Süd;KDES;Rhein-Ruhr;Düsseldorf;codematch
D Flingern;Düsseldorf-Flingern;KDFL;Rhein-Ruhr;Düsseldorf;codematch
D Friedrichstadt;Düsseldorf-Friedrichstadt;KDFS;Rhein-Ruhr;Düsseldorf;codematch
D Garath;Düsseldorf-Garath;KDGA;Rhein-Ruhr;Düsseldorf;codematch
D Gerresheim;Düsseldorf-Gerresheim;KDGE;Rhein-Ruhr;Düsseldorf;codematch
D Hamm;Düsseldorf-Hamm;KDHA;Rhein-Ruhr;Düsseldorf;codematch
D Hellerhof;Düsseldorf-Hellerhof;KDHL;Rhein-Ruhr;Düsseldorf;codematch
D Oberbilk;Düsseldorf-Oberbilk;KDOB;Rhein-Ruhr;Düsseldorf;codematch
D Rath;Düsseldorf-Rath;KDR;Rhein-Ruhr;Düsseldorf;codematch
D Rath Mitte;Düsseldorf-Rath Mitte;KDRM;Rhein-Ruhr;Düsseldorf;codematch
D Unterrath;Düsseldorf-Unterrath;KDU;Rhein-Ruhr;Düsseldorf;codematch
Ebenhausen-Schäftlarn;Ebenhausen-Schäftlarn;MEBS;München;München;direct
Eberbach Bahnhof;Eberbach;REA;Rhein-Main;Mannheim;suffix
Ebersberg;Ebersberg (Oberbay);MEG;München;München;regex
Eching;Eching;MEC;München;München;direct
Hattersheim (Main)-Eddersheim Bahnhof;Eddersheim;FED;Rhein-Main;Frankfurt a. M.;manual
Egelsbach Bahnhof;Egelsbach;FEGB;Rhein-Main;Frankfurt a. M.;suffix
Eggolsheim;Eggolsheim;NEO;Nürnberg;Bamberg;direct
Eglharting;Eglharting;MEGL;München;München;direct
Eichborndamm;Eichborndamm;BEBD;Berlin;Berlin;direct
Eichenau;Eichenau (Oberbay);MEIC;München;München;regex
Eichwalde;Eichwalde;BEIW;Berlin;Berlin;direct
Eidelstedt;Eidelstedt;AEST;Hamburg;Hamburg;direct
Elbgaustraße;Elbgaustraße;AEGS;Hamburg;Hamburg;direct
Eltersdorf;Eltersdorf;NEF;Nürnberg;Nürnberg;direct
Emmerich;Emmerich;EEM;Rhein-Ruhr;Duisburg;codematch
Empel-Rees;Empel-Rees;EEMP;Rhein-Ruhr;Duisburg;codematch
Ennepetal/Gevelsberg;Ennepetal;EENP;Rhein-Ruhr;Hagen;codematch
Eppstein Bahnhof;Eppstein;FEP;Rhein-Main;Frankfurt a. M.;suffix
Eppstein-Bremthal Bahnhof;Eppstein-Bremthal;FEPB;Rhein-Main;Frankfurt a. M.;suffix
Erding;Erding;MER;München;München;direct
Erdweg;Erdweg;MEWG;München;München;direct
Erkner;Erkner;BERK;Berlin;Cottbus;direct
Erkrath;Erkrath;KER;Rhein-Ruhr;Düsseldorf;codematch
Erlangen;Erlangen;NER;Nürnberg;Nürnberg;direct
Bruck;Erlangen-Bruck;NERH;Nürnberg;Nürnberg;manual
Erzhausen Bahnhof;Erzhausen;FEZS;Rhein-Main;Frankfurt a. M.;suffix
Eschborn Bahnhof;Eschborn;FES;Rhein-Main;Frankfurt a. M.;suffix
Eschborn Südbahnhof;Eschborn Süd;FESS;Rhein-Main;Frankfurt a. M.;manual
Essen Hbf;Essen Hbf;EE;Rhein-Ruhr;Essen;codematch
E Stadtwald;Essen Stadtwald;EESA;Rhein-Ruhr;Essen;codematch
E Süd;Essen Süd;EESD;Rhein-Ruhr;Essen;codematch
E West;Essen West;EENW;Rhein-Ruhr;Essen;codematch
E Altenessen;Essen-Altenessen;EEAL;Rhein-Ruhr;Essen;codematch
E Bergeborbeck;Essen-Bergeborbeck;EEBE;Rhein-Ruhr;Essen;codematch
E Borbeck;Essen-Borbeck;EEBB;Rhein-Ruhr;Essen;codematch
E Borbeck Süd;Essen-Borbeck Süd;EEBS;Rhein-Ruhr;Essen;codematch
E Dellwig;Essen-Dellwig;EEDL;Rhein-Ruhr;Essen;codematch
E Dellwig Ost;Essen-Dellwig Ost;EEDO;Rhein-Ruhr;Essen;codematch
E Eiberg;Essen-Eiberg;EEIB;Rhein-Ruhr;Essen;codematch
E Frohnhausen;Essen-Frohnhausen;EEFO;Rhein-Ruhr;Essen;codematch
E Gerschede;Essen-Gerschede;EEGE;Rhein-Ruhr;Essen;codematch
E Holthausen;Essen-Holthausen;EEHH;Rhein-Ruhr;Essen;codematch
E Horst;Essen-Horst;EEHT;Rhein-Ruhr;Essen;codematch
E Hügel;Essen-Hügel;EEHU;Rhein-Ruhr;Essen;codematch
E Kray Nord;Essen-Kray Nord;EEKN;Rhein-Ruhr;Essen;codematch
E Kray Süd;Essen-Kray Süd;EEKS;Rhein-Ruhr;Essen;codematch
E Kupferdreh;Essen-Kupferdreh;EEKU;Rhein-Ruhr;Essen;codematch
E Steele;Essen-Steele;EEST;Rhein-Ruhr;Essen;codematch
E Steele Ost;Essen-Steele Ost;EESO;Rhein-Ruhr;Essen;codematch
E Überruhr;Essen-Überruhr;EEUE;Rhein-Ruhr;Essen;codematch
E Werden;Essen-Werden;EEWD;Rhein-Ruhr;Essen;codematch
E Zollverein Nord;Essen-Zollverein Nord;EEKB;Rhein-Ruhr;Essen;codematch
Esting;Esting;MESG;München;München;direct
Fasanenpark;Fasanenpark;MFP;München;München;direct
Feldafing;Feldafing;MFA;München;München;direct
Feldhausen;Feldhausen;EFEL;Rhein-Ruhr;Duisburg;codematch
Feldkirchen;Feldkirchen (b München);MFK;München;München;regex
Feucht;Feucht;NFT;Nürnberg;Nürnberg;direct
Feucht Ost;Feucht Ost;NFTO;Nürnberg;Nürnberg;direct
Moosbach;Feucht-Moosbach;NFTM;Nürnberg;Nürnberg;manual
Feuerbachstraße;Feuerbachstraße;BFB;Berlin;Berlin;direct
Fischbach;Fischbach (b Nürnberg);NFIH;Nürnberg;Nürnberg;corrected
Fischbek;Fischbek;AFIB;Hamburg;Hamburg;direct
Flörsheim (Main) Bahnhof;Flörsheim (Main);FFH;Rhein-Main;Frankfurt a. M.;suffix
Flughafen München;Flughafen München;MFHT;München;München;direct
Flughafen Besucherpark ;Flughafen München Besucherpark;MFHB;München;München;manual
Forchheim;Forchheim (Oberfr);NFO;Nürnberg;Nürnberg;regex
Forsthaus;Forsthaus;KFOS;Rhein-Ruhr;Duisburg;codematch
Frankfurt (Main) Flughafen Regionalbahnhof;Frankfurt (Main) Flughafen Regionalbahnhof;FFLU;Rhein-Main;Frankfurt a. M.;direct
