S-Bahnstationsname;DB-Stationsname;Abkuerzung;S-Bahnnetz;BM;Matching-Methode
Karlsfeld;München-Karlsfeld;MKFS;München;München;prefix
Laim;München-Laim Pbf;ML;München;München;prefix
Langwied;München-Langwied;MLW;München;München;prefix
Lochhausen;München-Lochhausen;MLO;München;München;prefix
Mittersendling;München-Mittersendling;MMT;München;München;prefix
Moosach;München-Moosach;MMCH;München;München;prefix
Neuaubing;München-Neuaubing;MNA;München;München;prefix
Neuperlach Süd;München-Neuperlach Süd;MNPS;München;München;prefix
Obermenzing;München-Obermenzing;MOZ;München;München;prefix
Pasing;München-Pasing;MP;München;München;prefix
Perlach;München-Perlach;MPER;München;München;prefix
Riem;München-Riem Pbf;MRI;München;München;prefix
Solln;München-Solln;MSN;München;München;prefix
Trudering;München-Trudering;MTR;München;München;prefix
Untermenzing;München-Untermenzing;MAUG;München;München;prefix
Westkreuz;München-Westkreuz;MWKR;München;München;prefix
Nettelnburg;Nettelnburg;ANTB;Hamburg;Hamburg;direct
Breyell;Nettetal-Breyell;KBRY;Rhein-Ruhr;Düsseldorf;codematch
Neu-Isenburg Bahnhof;Neu Isenburg;FNIS;Rhein-Main;Frankfurt a. M.;regex swap
Neu Wulmstorf;Neu Wulmstorf;ANWF;Hamburg;Hamburg;direct
Neubiberg;Neubiberg;MNB;München;München;direct
Neuenhagen;Neuenhagen (b Berlin);BNG;Berlin;Berlin;regex
Neufahrn;Neufahrn (b Freising);MNF;München;München;regex
Neugilching;Neugilching;MNGH;München;München;direct
Neukloster;Neukloster (Kr Stade);ANL;Hamburg;Hamburg;regex
Neumarkt;Neumarkt (Oberpf);NNT;Nürnberg;Nürnberg;regex
NE Allerheiligen;Neuss Allerheiligen;KNAL;Rhein-Ruhr;Düsseldorf;codematch
NE Am Kaiser;Neuss Am Kaiser;KNAK;Rhein-Ruhr;Düsseldorf;codematch
Neuss Hbf;Neuss Hbf;KN;Rhein-Ruhr;Düsseldorf;codematch
NE Rheinpark Center;Neuss Rheinpark-Center;KNRC;Rhein-Ruhr;Düsseldorf;codematch
NE Süd;Neuss Süd;KNSD;Rhein-Ruhr;Düsseldorf;codematch
Neuwiedenthal;Neuwiedenthal;ANWS;Hamburg;Hamburg;direct
Wöllstadt-Nieder-Wöllstadt Bahnhof;Nieder Wöllstadt;FNRW;Rhein-Main;Frankfurt a. M.;manual
Eschborn-Niederhöchstadt Bahnhof;Niederhöchstadt;FNH;Rhein-Main;Frankfurt a. M.;manual
Eppstein-Niederjosbach Bahnhof;Niederjosbach;FNJ;Rhein-Main;Frankfurt a. M.;manual
Niedernhausen Bahnhof;Niedernhausen (Taunus);FNSD;Rhein-Main;Darmstadt;regex
Niederroth;Niederroth;MNRO;München;München;direct
Nieukerk;Nieukerk;KNIK;Rhein-Ruhr;Duisburg;codematch
Nievenheim;Nievenheim;KNIV;Rhein-Ruhr;Düsseldorf;codematch
Nikolassee;Nikolassee;BNIS;Berlin;Berlin;direct
Nöldnerplatz;Nöldnerplatz;BNPL;Berlin;Berlin;direct
Norf;Norf;KNO;Rhein-Ruhr;Düsseldorf;codematch
Nürnberg Hbf;Nürnberg Hbf;NN;Nürnberg;Nürnberg;direct
Rothenburgerstraße;Nürnberg Rothenburger Straße;NNRS;Nürnberg;Nürnberg;manual
Dürrenhof;Nürnberg-Dürrenhof;NDHF;Nürnberg;Nürnberg;prefix
Dutzendteich;Nürnberg-Dutzendteich;NND;Nürnberg;Nürnberg;prefix
Eibach;Nürnberg-Eibach;NNEI;Nürnberg;Nürnberg;prefix
Frankenstadion;Nürnberg-Frankenstadion;NSTD;Nürnberg;Nürnberg;prefix
Gleißhammer;Nürnberg-Gleißhammer;NGLH;Nürnberg;Nürnberg;prefix
Laufamholz;Nürnberg-Laufamholz;NNLH;Nürnberg;Nürnberg;prefix
Mögeldorf;Nürnberg-Mögeldorf;NNMO;Nürnberg;Nürnberg;prefix
Ostring;Nürnberg-Ostring;NNOS;Nürnberg;Nürnberg;prefix
Rehhof;Nürnberg-Rehhof;NNRH;Nürnberg;Nürnberg;prefix
Reichelsdorf;Nürnberg-Reichelsdorf;NNRE;Nürnberg;Nürnberg;prefix
Sandreuth;Nürnberg-Sandreuth;NNSR;Nürnberg;Nürnberg;prefix
Schweinau;Nürnberg-Schweinau;NNSW;Nürnberg;Nürnberg;prefix
Stein;Nürnberg-Stein;NNST;Nürnberg;Nürnberg;prefix
Steinbühl;Nürnberg-Steinbühl;NNSE;Nürnberg;Nürnberg;prefix
Oberasbach;Oberasbach;NOA;Nürnberg;Nürnberg;direct
Oberferrieden;Oberferrieden;NOB;Nürnberg;Nürnberg;direct
Oberhausen Hbf;Oberhausen Hbf;EOB;Rhein-Ruhr;Duisburg;codematch
OB Holten;Oberhausen-Holten;EOHT;Rhein-Ruhr;Duisburg;codematch
OB Osterfeld Süd;Oberhausen-Osterfeld Süd;EOS;Rhein-Ruhr;Duisburg;codematch
OB Sterkrade;Oberhausen-Sterkrade;EOSD;Rhein-Ruhr;Duisburg;codematch
Oberschleißheim;Oberschleißheim;MOSM;München;München;direct
Oberspree;Oberspree;BOSP;Berlin;Berlin;direct
Obertshausen Bahnhof;Obertshausen (Kr Offenbach);FOTS;Rhein-Main;Frankfurt a. M.;regex
Oberursel (Taunus) Bahnhof;Oberursel (Taunus);FOU;Rhein-Main;Frankfurt a. M.;suffix
Oberursel (Taunus)-Stierstadt Bahnhof;Oberursel-Stierstadt;FOUS;Rhein-Main;Frankfurt a. M.;manual
Oberursel (Taunus)-Weißkirchen-Steinbach Bahnhof;Oberursel-Weißkirchen/Steinbach;FWN;Rhein-Main;Frankfurt a. M.;manual
Ochenbruck;Ochenbruck;NOK;Nürnberg;Nürnberg;direct
Offenbach (Main) Hauptbahnhof;Offenbach (Main) Hbf;FO;Rhein-Main;Frankfurt a. M.;manual
Offenbach (Main) Ostbahnhof;Offenbach (Main) Ost;FOO;Rhein-Main;Frankfurt a. M.;manual
Offenbach (Main) Ledermuseum;Offenbach Ledermuseum;FOLM;Rhein-Main;Frankfurt a. M.;manual
Offenbach (Main) Marktplatz S-Bahn;Offenbach Marktplatz;FOMP;Rhein-Main;Frankfurt a. M.;manual
Offenbach (Main) Bieber Bahnhof;Offenbach-Bieber;FOBI;Rhein-Main;Frankfurt a. M.;manual
Offenbach (Main) Kaiserlei S-Bahn;Offenbach-Kaiserlei;FOKL;Rhein-Main;Frankfurt a. M.;manual
Offenbach (Main) Bieber Waldhof;Offenbach-Waldhof;FOWH;Rhein-Main;Frankfurt a. M.;manual
Ohlsdorf;Ohlsdorf;AOP;Hamburg;Hamburg;direct
Karben-Okarben Bahnhof;Okarben;FOK;Rhein-Main;Frankfurt a. M.;manual
Olching;Olching;MOL;München;München;direct
Olympiastadion;Olympiastadion;BOLS;Berlin;Berlin;direct
Oranienburg;Oranienburg;BOR;Berlin;Potsdam;direct
Oranienburger Straße;Oranienburger Straße;BORS;Berlin;Berlin;direct
Osdorfer Straße;Osdorferstraße;BOSS;Berlin;Berlin;manual
Ostkreuz;Ostkreuz;BOK;Berlin;Berlin;direct
Othmarschen;Othmarschen;AOH;Hamburg;Hamburg;direct
Ottenhofen;Ottenhofen (Oberbay);MONH;München;München;regex
Ottensoos;Ottensoos;NOTS;Nürnberg;Nürnberg;direct
Otterfing;Otterfing;MOTF;München;München;direct
Ottobrunn;Ottobrunn;MOBR;München;München;direct
Pankow-Heinersdorf;Pankow-Heinersdorf;BPHD;Berlin;Berlin;direct
Peiß;Peiß;MPEI;München;München;direct
Petershagen Nord;Petershagen Nord;BPEN;Berlin;Berlin;direct
Petershausen;Petershausen (Oberbay);MPE;München;München;regex
Pichelsberg;Pichelsberg;BPIC;Berlin;Berlin;direct
Pinneberg;Pinneberg;AP;Hamburg;Hamburg;direct
Planegg;Planegg (Krailling);MPL;München;München;regex
Plänterwald;Plänterwald;BPWA;Berlin;Berlin;direct
Poelchaustraße;Poelchaustraße;BPOE;Berlin;Berlin;direct
Poing;Poing;MPO;München;München;direct
Pölling;Pölling;NPG;Nürnberg;Nürnberg;direct
Pommelsbrunn;Pommelsbrunn;NPMH;Nürnberg;Nürnberg;direct
Poppenbüttel;Poppenbüttel;APB;Hamburg;Hamburg;direct
Possenhofen;Possenhofen;MPH;München;München;direct
Postbauer-Heng;Postbauer-Heng;NPOH;Nürnberg;Nürnberg;direct
Potsdam Griebnitzsee;Potsdam Griebnitzsee;BGBS;Berlin;Potsdam;direct
Potsdam Hbf;Potsdam Hbf;BPD;Berlin;Potsdam;direct
Praest;Praest;EPRA;Rhein-Ruhr;Duisburg;codematch
Prenzlauer Allee;Prenzlauer Allee;BPLA;Berlin;Berlin;direct
Priesterweg;Priesterweg;BPRS;Berlin;Berlin;direct
Puchheim;Puchheim;MPM;München;München;direct
Pullach;Pullach;MPUL;München;München;direct
Pulling;Pulling (b Freising);MPU;München;München;regex
Rahnsdorf;Rahnsdorf;BRD;Berlin;Berlin;direct
Raitersaich;Raitersaich;NRAH;Nürnberg;Nürnberg;direct
Raoul-Wallenberg-Straße;Raoul-Wallenberg-Straße;BRW;Berlin;Berlin;direct
Rathaus Steglitz;Rathaus Steglitz;BRST;Berlin;Berlin;direct
Ratingen Ost;Ratingen Ost;KRAO;Rhein-Ruhr;Düsseldorf;codematch
Raunheim Bahnhof;Raunheim;FRA;Rhein-Main;Frankfurt a. M.;suffix
Recklinghausen Hbf;Recklinghausen Hbf;ERE;Rhein-Ruhr;Münster (Westf);codematch
Recklinghausen Süd;Recklinghausen Süd;ERES;Rhein-Ruhr;Münster (Westf);codematch
Rednitzhembach;Rednitzhembach;NRCH;Nürnberg;Nürnberg;direct
Reeperbahn;Reeperbahn;ARES;Hamburg;Hamburg;direct
Reichelsdorfer Keller;Reichelsdorfer Keller;NREK;Nürnberg;Nürnberg;direct
Reinbek;Reinbek;ARBK;Hamburg;Hamburg;direct
Remscheid Hbf;Remscheid Hbf;KR;Rhein-Ruhr;Düsseldorf;codematch
RS Güldenwerth;Remscheid-Güldenwerth;KRG;Rhein-Ruhr;Düsseldorf;codematch
RS Lennep;Remscheid-Lennep;KRL;Rhein-Ruhr;Düsseldorf;codematch
RS Lüttringhausen;Remscheid-Lüttringhausen;KRLU;Rhein-Ruhr;Düsseldorf;codematch
Rhade;Rhade;ERHA;Rhein-Ruhr;Münster (Westf);codematch
Rheinberg;Rheinberg (Rheinl);KRBE;Rhein-Ruhr;Duisburg;codematch
Rheinhausen;Rheinhausen;KRH;Rhein-Ruhr;Duisburg;codematch
Rheinhausen Ost;Rheinhausen Ost;KRHO;Rhein-Ruhr;Duisburg;codematch
Rheydt Hbf;Rheydt Hbf;KRY;Rhein-Ruhr;Düsseldorf;codematch
Rheydt Odenkirchen;Rheydt-Odenkirchen;KRYO;Rhein-Ruhr;Düsseldorf;codematch
Riedstadt-Goddelau Bahnhof;Riedstadt-Goddelau;FGE;Rhein-Main;Darmstadt;suffix
Riedstadt-Wolfskehlen Bahnhof;Riedstadt-Wolfskehlen;FLW;Rhein-Main;Darmstadt;suffix
Rissen;Rissen;ARI;Hamburg;Hamburg;direct
Rödermark-Ober-Roden Bahnhof;Rödermark-Ober Roden;FORD;Rhein-Main;Darmstadt;manual
Rodgau-Dudenhofen Bahnhof;Rodgau-Dudenhofen;FDU;Rhein-Main;Frankfurt a. M.;suffix
Rodgau-Hainhausen Bahnhof;Rodgau-Hainhausen;FHHN;Rhein-Main;Frankfurt a. M.;suffix
Rodgau-Jügesheim Bahnhof;Rodgau-Jügesheim;FJUE;Rhein-Main;Frankfurt a. M.;suffix
Rodgau-Nieder-Roden Bahnhof;Rodgau-Nieder Roden;FNRO;Rhein-Main;Frankfurt a. M.;manual
Rodgau-Nieder-Roden Rollwald Bahnhof;Rodgau-Rollwald;FROL;Rhein-Main;Frankfurt a. M.;manual
Rodgau-Weiskirchen Bahnhof;Rodgau-Weiskirchen;FWEK;Rhein-Main;Frankfurt a. M.;suffix
Röhrmoos;Röhrmoos;MRM;München;München;direct
Rommerskirchen;Rommerskirchen;KROM;Rhein-Ruhr;Köln;codematch
Röntgental;Röntgental;BRGT;Berlin;Berlin;direct
Roßtal;Roßtal;NRL;Nürnberg;Nürnberg;direct
Roßtal-Wegbrücke ;Roßtal-Wegbrücke;NRW;Nürnberg;Nürnberg;manual
Roth;Roth;NRO;Nürnberg;Nürnberg;direct
Seespitze;Röthenbach-Seespitze;NRPE;Nürnberg;Nürnberg;manual
Steinberg;Röthenbach-Steinberg;NRPG;Nürnberg;Nürnberg;manual
Rothenburgsort;Rothenburgsort;AROP;Hamburg;Hamburg;direct
Rübenkamp City Nord;Rübenkamp;ARP;Hamburg;Hamburg;manual
Rumeln;Rumeln;KRUM;Rhein-Ruhr;Duisburg;codematch
Rummenohl;Rummenohl;EROL;Rhein-Ruhr;Hagen;codematch
Rüsselsheim Bahnhof;Rüsselsheim;FRUE;Rhein-Main;Frankfurt a. M.;suffix
Rüsselsheim Opelwerk Bahnhof;Rüsselsheim Opelwerk;FRUO;Rhein-Main;Frankfurt a. M.;suffix
Sachsen;Sachsen (b Ansbach);NSA;Nürnberg;Nürnberg;corrected
Sauerlach;Sauerlach;MSR;München;München;direct
Savignyplatz;Savignyplatz;BSAP;Berlin;Berlin;direct
Schichauweg;Schichauweg;BSC;Berlin;Berlin;direct
Schöneberg;Schöneberg;BSGR;Berlin;Berlin;direct
Schönfließ;Schönfließ;BSFL;Berlin;Berlin;direct
Schöngeising;Schöngeising;MSNG;München;München;direct
Schönhauser Allee;Schönhauser Allee;BSAL;Berlin;Berlin;direct
Schulzendorf;Schulzendorf (b Tegel);BSZF;Berlin;Berlin;regex
Schwabach;Schwabach;NSC;Nürnberg;Nürnberg;direct
Limbach;Schwabach-Limbach;NSCL;Nürnberg;Nürnberg;corrected
Schwabhausen;Schwabhausen (b Dachau);MSHH;München;München;regex
Schwaig;Schwaig;NSAI;Nürnberg;Nürnberg;direct
Schwalbach (Taunus) Limes Bahnhof;Schwalbach a Ts (Limes);FSTS;Rhein-Main;Frankfurt a. M.;manual
Schwalbach (Taunus) Nord;Schwalbach Nord;FSLN;Rhein-Main;Frankfurt a. M.;manual
Schwelm;Schwelm;KSWE;Rhein-Ruhr;Düsseldorf;codematch
Schwelm West;Schwelm West;KSWW;Rhein-Ruhr;Düsseldorf;codematch
Seefeld-Hechendorf;Seefeld-Hechendorf;MSH;München;München;direct
Friedrichsdorf-Seulberg Bahnhof;Seulberg;FSG;Rhein-Main;Frankfurt a. M.;manual
Solingen Hbf;Solingen Hbf;KSO;Rhein-Ruhr;Düsseldorf;codematch
SG Vogelpark;Solingen Vogelpark;KSV;Rhein-Ruhr;Düsseldorf;codematch
SG Grünewald;Solingen-Grünewald;KSGR;Rhein-Ruhr;Düsseldorf;codematch
Solingen Mitte;Solingen-Mitte;KSM;Rhein-Ruhr;Düsseldorf;codematch
SG Schaberg;Solingen-Schaberg;KSS;Rhein-Ruhr;Düsseldorf;codematch
Sonnenallee;Sonnenallee;BSO;Berlin;Berlin;direct
Springpfuhl;Springpfuhl;BSPH;Berlin;Berlin;direct
St. Koloman;St. Koloman;MKL;München;München;direct
Stade;Stade;AST;Hamburg;Hamburg;direct
Stadthausbrücke;Stadthausbrücke;ASHS;Hamburg;Hamburg;direct
Starnberg;Starnberg;MST;München;München;direct
Starnberg Nord;Starnberg-Nord;MSNO;München;München;regex swap
Steinebach;Steinebach;MSA;München;München;direct
Hanau-Steinheim (Main) Bahnhof;Steinheim/Main;FSHM;Rhein-Main;Frankfurt a. M.;manual
Stellingen Arenen;Stellingen;ASTS;Hamburg;Hamburg;manual
Sternschanze Messe;Sternschanze;ASTZ;Hamburg;Hamburg;manual
Stockdorf;Stockdorf;MSD;München;München;direct
Storkower Straße;Storkower Straße;BSTO;Berlin;Berlin;direct
Strausberg;Strausberg;BST;Berlin;Cottbus;direct
Strausberg Nord;Strausberg Nord;BSTN;Berlin;Berlin;direct
Strausberg Stadt;Strausberg Stadt;BSTR;Berlin;Berlin;direct
Stresow;Stresow;BSRW;Berlin;Berlin;direct
Strullendorf;Strullendorf;NSU;Nürnberg;Bamberg;direct
Südende;Südende;BSDE;Berlin;Berlin;direct
Sülldorf;Sülldorf;ASDF;Hamburg;Hamburg;direct
Sulzbach (Taunus) Nordbahnhof;Sulzbach (Taunus) Nord;FSZN;Rhein-Main;Frankfurt a. M.;manual
Sundgauer Straße;Sundgauer Straße;BSDG;Berlin;Berlin;direct
Sythen;Sythen;ESYH;Rhein-Ruhr;Münster (Westf);codematch
Taufkirchen;Taufkirchen;MTU;München;München;direct
Teltow Stadt;Teltow Stadt;BTLS;Berlin;Berlin;direct
Thesdorf;Thesdorf;ATHS;Hamburg;Hamburg;direct
Tiefstack;Tiefstack;ATK;Hamburg;Hamburg;direct
Tiergarten;Tiergarten;BTGN;Berlin;Berlin;direct
Treptower Park;Treptower Park;BTP;Berlin;Berlin;direct
Trompet;Trompet;KTR;Rhein-Ruhr;Duisburg;codematch
Türkenfeld;Türkenfeld;MTFD;München;München;direct
Tutzing;Tutzing;MTZ;München;München;direct
Unterasbach;Unterasbach;NUA;Nürnberg;Nürnberg;direct
Unterföhring;Unterföhring;MUFG;München;München;direct
Unterhaching;Unterhaching;MUH;München;München;direct
Unterschleißheim;Unterschleißheim;MUSM;München;München;direct
Vach;Vach;NVA;Nürnberg;Nürnberg;direct
Vaterstetten;Vaterstetten;MVS;München;München;direct
Veddel BallinStadt;Veddel;AVLS;Hamburg;Hamburg;manual
Velbert Langenberg;Velbert-Langenberg;ELBG;Rhein-Ruhr;Düsseldorf;codematch
Velbert Neviges;Velbert-Neviges;ENV;Rhein-Ruhr;Düsseldorf;codematch
Velbert Nierenhof;Velbert-Nierenhof;ENIR;Rhein-Ruhr;Düsseldorf;codematch
Velbert Rosenhügel;Velbert-Rosenhügel;EVLR;Rhein-Ruhr;Düsseldorf;codematch
Vierkirchen-Esterhofen;Vierkirchen-Esterhofen;MESH;München;München;direct
Viersen;Viersen;KV;Rhein-Ruhr;Düsseldorf;codematch
Dülken;Viersen-Dülken;KDUL;Rhein-Ruhr;Düsseldorf;codematch
Voerde;Voerde (Niederrhein);EVD;Rhein-Ruhr;Duisburg;codematch
Wächterhof;Wächterhof;MWAE;München;München;direct
Waidmannslust;Waidmannslust;BWAI;Berlin;Berlin;direct
Mörfelden-Walldorf-Walldorf Bahnhof;Walldorf (Hess);FWF;Rhein-Main;Darmstadt;manual
Wandsbeker Chaussee;Wandsbeker Chaussee;AWCH;Hamburg;Hamburg;direct
Wanne Eickel Hbf;Wanne-Eickel Hbf;EWAN;Rhein-Ruhr;Essen;codematch
Warschauer Straße;Warschauer Straße;BWRS;Berlin;Berlin;direct
Wartenberg;Wartenberg;BWAB;Berlin;Berlin;direct
Wattenscheid;Wattenscheid;EWAT;Rhein-Ruhr;Essen;codematch
Wattenscheid-Höntrop;Wattenscheid-Höntrop;EWHP;Rhein-Ruhr;Essen;codematch
Wedding;Wedding;BWED;Berlin;Berlin;direct
Wedel;Wedel (Holst);AWL;Hamburg;Hamburg;regex
Weeze;Weeze;KWEE;Rhein-Ruhr;Duisburg;codematch
Wellingsbüttel;Wellingsbüttel;AWBS;Hamburg;Hamburg;direct
Wesel;Wesel;EWES;Rhein-Ruhr;Duisburg;codematch
Wesel-Feldmark;Wesel-Feldmark;EWFK;Rhein-Ruhr;Duisburg;codematch
Weßling;Weßling (Oberbay);MWS;München;München;regex
Westend;Westend;BWES;Berlin;Berlin;direct
Westhafen;Westhafen;BWH;Berlin;Berlin;direct
Wetter (Ruhr);Wetter (Ruhr);EWET;Rhein-Ruhr;Hagen;codematch
Wicklesgreuth;Wicklesgreuth;NWK;Nürnberg;Nürnberg;direct
Wickrath;Wickrath;KWIC;Rhein-Ruhr;Düsseldorf;codematch
Wiesbaden Hauptbahnhof;Wiesbaden Hbf;FW;Rhein-Main;Darmstadt;regex swap
Wiesbaden-Biebrich Bahnhof Wiesbaden Ost;Wiesbaden-Biebrich;FWB;Rhein-Main;Darmstadt;manual
Wildau;Wildau;BWI;Berlin;Berlin;direct
Wilhelmsburg;Wilhelmsburg;AWFS;Hamburg;Hamburg;direct
Wilhelmshagen;Wilhelmshagen;BWIG;Berlin;Berlin;direct
Winkelhaid;Winkelhaid;NWKH;Nürnberg;Nürnberg;direct
Wittbräucke;Wittbräucke;EWIK;Rhein-Ruhr;Hagen;codematch
Witten Hbf;Witten Hbf;EWIT;Rhein-Ruhr;Essen;codematch
Witten Annen Nord;Witten-Annen Nord;EWIA;Rhein-Ruhr;Essen;codematch
Wittenau;Wittenau (Wilhelmsruher Damm);BWIN;Berlin;Berlin;regex
Wohltorf;Wohltorf;AWLF;Hamburg;Hamburg;direct
Wolfratshausen;Wolfratshausen;MWO;München;München;direct
Wollankstraße;Wollankstraße;BWOK;Berlin;Berlin;direct
Wuhlheide;Wuhlheide;BWHH;Berlin;Berlin;direct
Wulfen;Wulfen (Westf);EWUF;Rhein-Ruhr;Münster (Westf);codematch
Wülfrath Aprath;Wülfrath-Aprath;EWAP;Rhein-Ruhr;Düsseldorf;codematch
Wuppertal Hbf;Wuppertal Hbf;KW;Rhein-Ruhr;Düsseldorf;codematch
W Zoologischer Garten;Wuppertal Zoologischer Garten;KWZ;Rhein-Ruhr;Düsseldorf;codematch
W Barmen;Wuppertal-Barmen;KWBA;Rhein-Ruhr;Düsseldorf;codematch
W Langerfeld;Wuppertal-Langerfeld;KWLP;Rhein-Ruhr;Düsseldorf;codematch
W Oberbarmen;Wuppertal-Oberbarmen;KWO;Rhein-Ruhr;Düsseldorf;codematch
W Ronsdorf;Wuppertal-Ronsdorf;KWRO;Rhein-Ruhr;Düsseldorf;codematch
W Sonnborn;Wuppertal-Sonnborn;KWSO;Rhein-Ruhr;Düsseldorf;codematch
W Steinbeck;Wuppertal-Steinbeck;KWS;Rhein-Ruhr;Düsseldorf;codematch
W Unterbarmen;Wuppertal-Unterbarmen;KWU;Rhein-Ruhr;Düsseldorf;codematch
W Vohwinkel;Wuppertal-Vohwinkel;KWV;Rhein-Ruhr;Düsseldorf;codematch
Xanten;Xanten;KX;Rhein-Ruhr;Duisburg;codematch
Yorckstraße;Yorckstraße;BYOR;Berlin;Berlin;direct
Yorckstraße (Großgörschenstraße);Yorckstraße (Großgörschenstraße);BGGS;Berlin;Berlin;direct
Zepernick;Zepernick (b Bernau);BZEP;Berlin;Berlin;regex
Neu-Isenburg-Zeppelinheim Bahnhof;Zeppelinheim;FZEP;Rhein-Main;Frankfurt a. M.;manual
Zeuthen;Zeuthen;BZN;Berlin;Berlin;direct
Zorneding;Zorneding;MZO;München;München;direct
Wuhletal;;;Berlin;;n/a
Goetheplatz;;;München;;n/a
Obersendling;;;München;;n/a
Castrop Rauxel Süd;;;Rhein-Ruhr;;n/a
D Derendorf;;;Rhein-Ruhr;;n/a
D Flughafen Terminal;;;Rhein-Ruhr;;n/a
D Reisholz;;;Rhein-Ruhr;;n/a
DO Werkstätte;;;Rhein-Ruhr;;n/a
DU Hochfeld Süd;;;Rhein-Ruhr;;n/a
Erkrath Nord;;;Rhein-Ruhr;;n/a
Gladbeck Zweckel;;;Rhein-Ruhr;;n/a
IKEA Kaarst;;;Rhein-Ruhr;;n/a
Kaarst Mitte/Holzbüttgen;;;Rhein-Ruhr;;n/a
Kaarster Bahnhof;;;Rhein-Ruhr;;n/a
Kaarster See;;;Rhein-Ruhr;;n/a
Mettmann;;;Rhein-Ruhr;;n/a
Mettmann Zentrum;;;Rhein-Ruhr;;n/a
Neanderthal;;;Rhein-Ruhr;;n/a
